  -0.49     -0.49      0.10
  -0.49     -0.46      0.12    
  -0.49     -0.44      0.19    
  -0.49     -0.41      0.32    
  -0.49     -0.39      0.47    
  -0.49     -0.36      0.52    
  -0.49     -0.34      0.41    
  -0.49     -0.31      0.21    
  -0.49     -0.29      0.95E-01
  -0.49     -0.26      0.22    
  -0.49     -0.24      0.56    
  -0.49     -0.21      0.92    
  -0.49     -0.19       1.1    
  -0.49     -0.16      0.89    
  -0.49     -0.14      0.56    
  -0.49     -0.11      0.29    
  -0.49     -0.87E-01  0.25    
  -0.49     -0.63E-01  0.41    
  -0.49     -0.37E-01  0.66    
  -0.49     -0.13E-01  0.83    
  -0.49      0.13E-01  0.83    
  -0.49      0.38E-01  0.66    
  -0.49      0.63E-01  0.41    
  -0.49      0.88E-01  0.25    
  -0.49      0.11      0.29    
  -0.49      0.14      0.56    
  -0.49      0.16      0.89    
  -0.49      0.19       1.1    
  -0.49      0.21      0.92    
  -0.49      0.24      0.56    
  -0.49      0.26      0.22    
  -0.49      0.29      0.95E-01
  -0.49      0.31      0.21    
  -0.49      0.34      0.41    
  -0.49      0.36      0.52    
  -0.49      0.39      0.47    
  -0.49      0.41      0.32    
  -0.49      0.44      0.19    
  -0.49      0.46      0.12    
  -0.49      0.49      0.10    
  -0.46     -0.49      0.12    
  -0.46     -0.46      0.31    
  -0.46     -0.44      0.59    
  -0.46     -0.41      0.81    
  -0.46     -0.39      0.88    
  -0.46     -0.36      0.75    
  -0.46     -0.34      0.48    
  -0.46     -0.31      0.20    
  -0.46     -0.29      0.53E-01
  -0.46     -0.26      0.12    
  -0.46     -0.24      0.34    
  -0.46     -0.21      0.56    
  -0.46     -0.19      0.66    
  -0.46     -0.16      0.63    
  -0.46     -0.14      0.55    
  -0.46     -0.11      0.52    
  -0.46     -0.87E-01  0.55    
  -0.46     -0.63E-01  0.57    
  -0.46     -0.37E-01  0.55    
  -0.46     -0.13E-01  0.52    
  -0.46      0.13E-01  0.52    
  -0.46      0.38E-01  0.55    
  -0.46      0.63E-01  0.57    
  -0.46      0.88E-01  0.55    
  -0.46      0.11      0.52    
  -0.46      0.14      0.55    
  -0.46      0.16      0.63    
  -0.46      0.19      0.66    
  -0.46      0.21      0.56    
  -0.46      0.24      0.34    
  -0.46      0.26      0.12    
  -0.46      0.29      0.53E-01
  -0.46      0.31      0.20    
  -0.46      0.34      0.48    
  -0.46      0.36      0.75    
  -0.46      0.39      0.88    
  -0.46      0.41      0.81    
  -0.46      0.44      0.59    
  -0.46      0.46      0.31    
  -0.46      0.49      0.12    
  -0.44     -0.49      0.19    
  -0.44     -0.46      0.59    
  -0.44     -0.44       1.1    
  -0.44     -0.41       1.4    
  -0.44     -0.39       1.3    
  -0.44     -0.36      0.92    
  -0.44     -0.34      0.48    
  -0.44     -0.31      0.16    
  -0.44     -0.29      0.57E-01
  -0.44     -0.26      0.10    
  -0.44     -0.24      0.18    
  -0.44     -0.21      0.21    
  -0.44     -0.19      0.24    
  -0.44     -0.16      0.34    
  -0.44     -0.14      0.59    
  -0.44     -0.11      0.87    
  -0.44     -0.87E-01   1.0    
  -0.44     -0.63E-01  0.85    
  -0.44     -0.37E-01  0.50    
  -0.44     -0.13E-01  0.21    
  -0.44      0.13E-01  0.21    
  -0.44      0.38E-01  0.50    
  -0.44      0.63E-01  0.85    
  -0.44      0.88E-01   1.0    
  -0.44      0.11      0.87    
  -0.44      0.14      0.59    
  -0.44      0.16      0.34    
  -0.44      0.19      0.24    
  -0.44      0.21      0.21    
  -0.44      0.24      0.18    
  -0.44      0.26      0.10    
  -0.44      0.29      0.57E-01
  -0.44      0.31      0.16    
  -0.44      0.34      0.48    
  -0.44      0.36      0.92    
  -0.44      0.39       1.3    
  -0.44      0.41       1.4    
  -0.44      0.44       1.1    
  -0.44      0.46      0.59    
  -0.44      0.49      0.19    
  -0.41     -0.49      0.32    
  -0.41     -0.46      0.81    
  -0.41     -0.44       1.4    
  -0.41     -0.41       1.6    
  -0.41     -0.39       1.4    
  -0.41     -0.36      0.81    
  -0.41     -0.34      0.33    
  -0.41     -0.31      0.14    
  -0.41     -0.29      0.21    
  -0.41     -0.26      0.33    
  -0.41     -0.24      0.34    
  -0.41     -0.21      0.22    
  -0.41     -0.19      0.11    
  -0.41     -0.16      0.24    
  -0.41     -0.14      0.65    
  -0.41     -0.11       1.1    
  -0.41     -0.87E-01   1.3    
  -0.41     -0.63E-01   1.1    
  -0.41     -0.37E-01  0.61    
  -0.41     -0.13E-01  0.18    
  -0.41      0.13E-01  0.18    
  -0.41      0.38E-01  0.61    
  -0.41      0.63E-01   1.1    
  -0.41      0.88E-01   1.3    
  -0.41      0.11       1.1    
  -0.41      0.14      0.65    
  -0.41      0.16      0.24    
  -0.41      0.19      0.11    
  -0.41      0.21      0.22    
  -0.41      0.24      0.34    
  -0.41      0.26      0.33    
  -0.41      0.29      0.21    
  -0.41      0.31      0.14    
  -0.41      0.34      0.33    
  -0.41      0.36      0.81    
  -0.41      0.39       1.4    
  -0.41      0.41       1.6    
  -0.41      0.44       1.4    
  -0.41      0.46      0.81    
  -0.41      0.49      0.32    
  -0.39     -0.49      0.47    
  -0.39     -0.46      0.88    
  -0.39     -0.44       1.3    
  -0.39     -0.41       1.4    
  -0.39     -0.39      0.98    
  -0.39     -0.36      0.45    
  -0.39     -0.34      0.14    
  -0.39     -0.31      0.20    
  -0.39     -0.29      0.50    
  -0.39     -0.26      0.76    
  -0.39     -0.24      0.78    
  -0.39     -0.21      0.56    
  -0.39     -0.19      0.31    
  -0.39     -0.16      0.31    
  -0.39     -0.14      0.63    
  -0.39     -0.11       1.1    
  -0.39     -0.87E-01   1.3    
  -0.39     -0.63E-01   1.2    
  -0.39     -0.37E-01  0.73    
  -0.39     -0.13E-01  0.35    
  -0.39      0.13E-01  0.35    
  -0.39      0.38E-01  0.73    
  -0.39      0.63E-01   1.2    
  -0.39      0.88E-01   1.3    
  -0.39      0.11       1.1    
  -0.39      0.14      0.63    
  -0.39      0.16      0.31    
  -0.39      0.19      0.31    
  -0.39      0.21      0.56    
  -0.39      0.24      0.78    
  -0.39      0.26      0.76    
  -0.39      0.29      0.50    
  -0.39      0.31      0.20    
  -0.39      0.34      0.14    
  -0.39      0.36      0.45    
  -0.39      0.39      0.98    
  -0.39      0.41       1.4    
  -0.39      0.44       1.3    
  -0.39      0.46      0.88    
  -0.39      0.49      0.47    
  -0.36     -0.49      0.52    
  -0.36     -0.46      0.75    
  -0.36     -0.44      0.92    
  -0.36     -0.41      0.81    
  -0.36     -0.39      0.45    
  -0.36     -0.36      0.11    
  -0.36     -0.34      0.66E-01
  -0.36     -0.31      0.34    
  -0.36     -0.29      0.77    
  -0.36     -0.26       1.1    
  -0.36     -0.24       1.1    
  -0.36     -0.21      0.90    
  -0.36     -0.19      0.56    
  -0.36     -0.16      0.38    
  -0.36     -0.14      0.48    
  -0.36     -0.11      0.77    
  -0.36     -0.87E-01  0.99    
  -0.36     -0.63E-01  0.95    
  -0.36     -0.37E-01  0.69    
  -0.36     -0.13E-01  0.45    
  -0.36      0.13E-01  0.45    
  -0.36      0.38E-01  0.69    
  -0.36      0.63E-01  0.95    
  -0.36      0.88E-01  0.99    
  -0.36      0.11      0.77    
  -0.36      0.14      0.48    
  -0.36      0.16      0.38    
  -0.36      0.19      0.56    
  -0.36      0.21      0.90    
  -0.36      0.24       1.1    
  -0.36      0.26       1.1    
  -0.36      0.29      0.77    
  -0.36      0.31      0.34    
  -0.36      0.34      0.66E-01
  -0.36      0.36      0.11    
